N,Trial,Latency_ns,App_Bandwidth_GBps,Perf_Bandwidth_GBps,Perf_Elapsed,Cache_Misses,L1-dcache-load-misses,LLC-load-misses,LLC-loads
1,1,945224.0,0.08463602278401733,8.282427007967204,0.0012213140726089478,169709,5279267,31162,740707
1,2,1289975.0,0.06201670575011144,3.255810476425426,0.0016195429489016533,88465,5128810,17601,757672
1,3,1260449.0,0.06346944620528082,2.860940600492925,0.0012254519388079643,58820,5362933,15124,749801
1,4,1280356.0,0.06248262202075048,2.2466040551936675,0.0014058509841561317,52989,5427231,19001,794359
1,5,1321999.0,0.06051441793828891,1.6534688081646969,0.001646215096116066,45667,5717337,17597,893148
1,6,1335191.0,0.05991652130668945,2.187016547537452,0.001284065656363964,47115,5416553,13300,772575
1,7,1236839.0,0.06468101345445931,1.676224857010706,0.0016511045396327972,46433,5286029,12563,762362
1,8,1278057.0,0.06259501728013696,1.7887271231939972,0.001612536609172821,48392,5134701,9692,759474
1,9,1259575.0,0.06351348669193974,1.9735705271927568,0.0015203095972537994,50339,5230933,13156,771263
1,10,1234108.0,0.06482414829172163,1.9842355179082016,0.0015637753531336784,52058,5128205,10136,753643
5,1,249274.2,0.06418634579912402,2.873403607865094,0.001357334665954113,65434,5146931,12658,768306
5,2,251910.0,0.06351474733039578,3.1306888825306465,0.0012531736865639687,65822,5285023,12273,735333
5,3,265300.6,0.06030894766163363,2.634368480658044,0.0012499839067459106,55246,5182619,14517,762842
5,4,259481.2,0.06166149994681696,1.9183034781314965,0.0016087600961327553,51776,5142133,9666,756684
5,5,262233.4,0.06101434828667897,3.1898243783743383,0.001208714209496975,64686,5150705,13017,760983
5,6,265945.2,0.06016277037525024,1.9164612680765123,0.0015669511631131172,50382,5216071,13947,777046
5,7,253461.4,0.06312598289128049,1.4889005740801977,0.001718001440167427,42915,5228119,11895,770597
5,8,255533.2,0.06261417303113646,2.3403219361965553,0.0012283744290471077,48231,5122191,9000,757080
5,9,260985.2,0.061306158356872344,1.7532914262012544,0.0015627555549144745,45969,5113187,8541,752184
5,10,252445.8,0.06337994135770926,1.6675326819440834,0.0016697552055120468,46714,5259588,12930,770860
10,1,135766.7,0.058924611115980574,1.7352460493023694,0.0017215227708220482,50118,5132015,10856,762463
10,2,125070.5,0.06396392434666848,1.6001694631503063,0.0016355272382497787,43908,5124227,8337,750022
10,3,134934.9,0.059287849177640475,2.0952518971848226,0.0014266697689890862,50151,5132455,9865,765543
10,4,126628.1,0.0631771305105265,1.7795519116388774,0.001609831117093563,48063,5305674,13083,771518
10,5,133958.4,0.05972003248769767,2.4079351588741615,0.0014869878068566322,60072,5113058,12729,761627
10,6,128202.8,0.062401133204579,3.0728429274572515,0.0012037921696901321,62060,5191583,12622,752199
10,7,129101.8,0.06196660309925965,12.620529750925016,0.0012849504128098488,272072,5367811,60636,749882
10,8,129978.8,0.061548498678245994,7.525073852583039,0.001654505729675293,208881,5129393,38077,748491
10,9,132421.9,0.06041296794563437,3.285145782567118,0.001526101492345333,84112,5128879,15105,753592
10,10,132505.9,0.06037467010902911,6.612946567685413,0.0011984659358859062,132966,5365203,31157,743344
50,1,26099.22,0.06130451408126373,4.225586712298542,0.0015870407223701477,112511,5204283,23876,782923
50,2,25116.08,0.06370420861854238,3.0646750008646992,0.0012386050075292587,63685,5280838,16936,764732
50,3,26700.18,0.05992468964628703,2.2679151357117457,0.0015715137124061584,59795,5701807,21760,884349
50,4,25679.14,0.06230738256810781,2.9227845903908296,0.0011964021250605583,58667,5400652,15983,755163
50,5,25652.62,0.062371796720958717,3.1342660723799867,0.0015871860086917877,83461,5116531,18061,769953
50,6,25699.46,0.062258117485737056,4.825523966350294,0.0016333851963281631,132237,5206298,33083,769084
50,7,26226.78,0.06100634542250326,4.096569947704926,0.0012624794617295265,86769,5378547,22405,758045
50,8,25648.08,0.06238283723382023,2.7189441814107087,0.0015866253525018692,72376,5221042,18746,774983
50,9,26270.7,0.060904353519320005,2.588478522681654,0.0014847517013549805,64479,5223992,17129,770647
50,10,25612.98,0.06246832660627541,3.4424231431656187,0.001191253773868084,68800,5289937,18225,766851
75,1,17719.8,0.06004582444497116,3.6792147499668393,0.0011936109513044357,73678,5145364,14916,764876
75,2,16849.72,0.06314644991133384,2.10626052932565,0.0015357192605733871,54268,5215438,14730,757085
75,3,17252.386666666665,0.06167262655060672,1.8846059069947547,0.001587364822626114,50190,5719551,19753,889937
75,4,16939.24,0.06281273540017143,2.144211163791886,0.0014840206131339073,53386,5195070,14458,766137
75,5,17597.386666666665,0.06046352337165215,2.752104859873071,0.0012130122631788254,56008,5338837,14607,761282
75,6,16959.533333333333,0.0627375753263651,1.8561032740676369,0.00157965999096632,49191,5719310,18694,884973
75,7,17082.053333333333,0.06228759384117756,3.1156385728768794,0.0012447452172636986,65065,5492104,16335,796228
75,8,16458.413333333334,0.06464778702847825,2.7856453926526217,0.0012485189363360405,58350,5694125,22531,892475
75,9,17129.666666666668,0.062114460293058824,2.312464733296644,0.001604285091161728,62241,5203609,16310,764603
75,10,16263.4,0.0654229742858197,1.0866504096926453,0.0031962646171450615,58271,5300386,15795,771432
100,1,12748.75,0.06275125012256104,2.3572638629094076,0.0015623923391103745,61790,5408699,19894,780121
100,2,12872.13,0.062149776299648934,2.446935478223463,0.001489497721195221,61148,5287517,15675,778798
100,3,12937.17,0.06183732609218245,2.310948455111867,0.0015197331085801125,58922,5355206,16117,769475
100,4,12897.96,0.06202531253004351,3.873192802385349,0.0011650566011667252,75707,5354830,14809,739039
