N,Trial,Latency_ns,App_Bandwidth_GBps,Perf_Elapsed,Cach_Misses,Perf_Bandwidth_GBps
110000,3,98.42158125882798,0.08128298588255445,0.014491232112050056,80157,0.35401047753104126
120000,1,97.90085023269057,0.0817153270986474,0.016147581860423088,91558,0.3628847991389881
120000,2,100.07066496958335,0.07994350794442721,0.015520204789936543,83395,0.34389236947831686
120000,3,99.0396598353982,0.08077572169871979,0.01587774697691202,84664,0.3412635311470252
130000,1,98.4829062452683,0.08123237123076237,0.016606393735855818,87414,0.3368880738941293
130000,2,99.46252864140732,0.08043230057866751,0.016672891099005938,83156,0.3191998297354263
130000,3,99.48152403991956,0.08041694251477079,0.018048309721052647,84812,0.30074661194829166
140000,1,98.23414896215711,0.08143807509425109,0.01871343981474638,91881,0.3142331959390063
140000,2,99.60200571055924,0.08031966769070682,0.018192414194345474,94547,0.33261160038235943
140000,3,98.17438133593117,0.08148765381699485,0.017863917630165815,98028,0.3511991115210805
150000,1,98.18647367258866,0.08147761805436353,0.019930454902350903,113802,0.3654371180028055
150000,2,99.57291185855865,0.0803431360063452,0.019401901867240667,106822,0.35236793005036987
150000,3,99.8158473521471,0.08014759391638741,0.020386893767863512,110726,0.3475990055518223
160000,1,97.6394978351891,0.08193405514542511,0.02003590017557144,126053,0.40264684537788237
160000,2,99.46110076270998,0.08043345527701384,0.021334453020244837,101630,0.304873998589412
160000,3,99.84368225559592,0.08012524998347229,0.020431850105524063,115649,0.36225481108041613
170000,1,98.05340977276073,0.08158818768811854,0.021752349101006985,145125,0.42698836603215556
170000,2,99.2915456128471,0.08057080741993101,0.021784340031445026,111896,0.32873816648394305
170000,3,100.31957781928426,0.07974515218167288,0.021975940093398094,117580,0.3424253965026352
180000,1,98.63141717182265,0.08111005833023219,0.024106182623654604,140155,0.37210039183881866
180000,2,98.84694332463873,0.08093320573126826,0.024092274717986584,112351,0.2984551722146772
180000,3,100.36007863365941,0.07971297062452587,0.025037033949047327,128956,0.32963904657380705
190000,1,98.27264094431149,0.08140617696977726,0.02470808709040284,163265,0.4228963562322315
190000,2,99.10749565613897,0.08072043337424861,0.02477296907454729,123274,0.31847357400958515
190000,3,100.3681706558717,0.0797065438945707,0.024308064952492714,118954,0.3131905404596718
200000,1,98.81058475002646,0.08096298610354957,0.0258800839073956,158959,0.3930967162395024
200000,2,100.38388427346945,0.07969406700986094,0.026393793057650328,132683,0.32173140031264474
200000,3,100.3146031871438,0.07974910676838794,0.02571256086230278,151996,0.3783265327827326
230000,1,99.6742701238912,0.08026143547433369,0.031100569758564234,188803,0.38852638693773667
230000,2,99.25926468618538,0.08059701051879158,0.03086473001167178,202119,0.41910672781224
230000,3,99.64462572141834,0.08028531335313574,0.030609005130827427,177453,0.3710343394520185
270000,1,98.07407407572975,0.08157099697747489,0.03659807238727808,189816,0.33193617061162123
270000,2,102.83836336047561,0.077791980916284,0.035554406233131886,171753,0.30916539367648804
270000,3,100.3769674786815,0.07969955858348754,0.03769313916563988,211656,0.35937532134092404
290000,1,99.69742486959902,0.08024279474082445,0.03930850885808468,209384,0.3409077675365412
290000,2,100.4783099452997,0.07961917357442806,0.04017565120011568,194869,0.310427227125172
290000,3,102.81831411452129,0.07780715010644335,0.03734328504651785,259474,0.44469403212153913
300000,1,97.4005569393436,0.08213505396054374,0.04095936520025134,263128,0.41114387192447654
300000,2,101.37821392466624,0.07891241806592458,0.039087058044970036,191743,0.313954352509249
300000,3,103.82282392432293,0.07705434795176876,0.04143749410286546,227534,0.3514251118528185
325000,1,101.03684635116504,0.0791790350640507,0.04468870582059026,340282,0.48732778450625425
325000,2,104.42925330538016,0.07660688692856757,0.043859395664185286,232128,0.3387231350324162
325000,3,101.52573195787576,0.07879775743275898,0.04282176634296775,308768,0.4614744716910821
350000,1,101.35496567402568,0.07893051856708554,0.04931378783658147,328969,0.4269397449202212
350000,2,111.78545121635709,0.07156566362572765,0.04621493071317673,282917,0.39179303572638374
350000,3,102.27100923657417,0.07822353626621921,0.046284514013677835,283658,0.3922286403317352
375000,1,105.85471739371617,0.07557528088469397,0.049243106972426176,308201,0.4005609152778478
375000,2,104.68296458323798,0.07642122127367584,0.05112131917849183,286329,0.35846211119899785
375000,3,101.95450733105342,0.07846636906422824,0.048298345878720284,285367,0.37813899560578307
400000,1,100.81458720378578,0.07935359576316933,0.05551375122740865,405217,0.4671615127171542
400000,2,102.10365639068186,0.07835174843679832,0.05519190616905689,364322,0.4224642636653915
400000,3,106.79368278943002,0.07491079800828636,0.055148799903690815,349671,0.40579203970134436
410000,1,101.34490638426165,0.0789383530501969,0.05679122498258948,424830,0.47875565297870193
410000,2,103.60069232197796,0.07721956118919555,0.053014228120446205,337866,0.4078796347062235
410000,3,103.50237078056104,0.07729291551167536,0.05373456096276641,346682,0.4129120551552324
425000,1,102.9859362717937,0.07768050949099425,0.05514049995690584,322484,0.37429794826180496
425000,2,102.3495788959896,0.07816348720037057,0.05929266009479761,387091,0.4178227787451499
425000,3,107.8923320507302,0.07414799409691558,0.05710332002490759,377901,0.42354216864186855
430000,1,103.17575598005638,0.07753759518414752,0.05715872207656503,353709,0.3960441237590454
430000,2,104.07729139334934,0.07686595118780358,0.05926624592393637,363055,0.3920531769436011
430000,3,103.36675074731195,0.07739432595261334,0.06050689797848463,355763,0.3763014261298978
450000,1,103.85726164612505,0.07702879772873815,0.059866080060601234,379657,0.4058733756311349
450000,2,104.03061803016398,0.0769004371163149,0.060880960896611214,353409,0.3715147669631966
450000,3,104.84513309266832,0.07630301726002987,0.061655101366341114,376457,0.39077460690305565
475000,1,103.46310507310064,0.07732224926313291,0.06327032996341586,427006,0.4319304801445133
475000,2,102.98961675480793,0.07767773346555862,0.0640890127979219,404282,0.40372049545501776
475000,3,99.35028851032257,0.08052316827614239,0.0633356012403965,401523,0.4057350289051922
500000,1,101.84897854924202,0.07854767042295033,0.06646343227475882,426430,0.4106245955998371
500000,2,103.40575780719519,0.07736513101056103,0.06958276219666004,429510,0.3950495659012434
500000,3,104.79343961924314,0.07634065671541299,0.06818640837445855,434364,0.4076955607829483
525000,1,103.07928192473594,0.07761016424077591,0.07089341059327126,479776,0.4331243728160313
525000,2,103.13679242417926,0.07756688774164834,0.0699907778762281,393959,0.36023854520644727
525000,3,104.66701129362697,0.07643286935515192,0.07260410627350211,451712,0.3981808947705614
