#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1717536675,1400,aceffaeea368,1,0,0,2018296,,79056,1290184,838064,330360,13844,622344,765064,95532,125180,526812,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536676,1458,aceffaeea368,1,0,0,2018296,,79056,1290224,838076,330360,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536677,1601,aceffaeea368,1,0,0,2018296,,79056,1290224,838084,330352,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536678,1694,aceffaeea368,1,0,0,2018296,,79056,1290224,838088,330348,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,8,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536679,1877,aceffaeea368,1,0,0,2018296,,79056,1290224,838104,330336,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,60,16,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536680,1973,aceffaeea368,1,0,0,2018296,,81108,1292288,838116,330328,13844,622384,765124,95532,125228,526852,639896,0,0,1048576,812544,60,28,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536681,3047,aceffaeea368,1,0,0,2018296,,80408,1291180,838136,330308,13844,622220,764876,95532,125224,526688,639652,0,0,1048576,812544,60,36,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536682,1128,aceffaeea368,1,0,0,2018296,,77832,1287932,838144,330300,13844,622004,764252,95532,125056,526472,639196,0,0,1048576,812544,60,40,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536683,1281,aceffaeea368,1,0,0,2018296,,77424,1287524,838152,330300,13844,621840,764580,95532,125220,526308,639360,0,0,1048576,812544,60,48,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536684,1397,aceffaeea368,1,0,0,2018296,,77588,1287032,838164,330300,13844,621840,763924,95532,125220,526308,638704,0,0,1048576,812544,60,56,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536685,1538,aceffaeea368,1,0,0,2018296,,77588,1287852,838168,330304,13844,622168,764416,95532,125220,526636,639196,0,0,1048576,812544,64,64,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536686,988,aceffaeea368,1,0,0,2018296,,81196,1290644,838188,330308,13844,621840,763928,95532,125220,526308,638708,0,0,1048576,812544,64,76,210488,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536687,1143,aceffaeea368,1,0,0,2018296,,80216,1291156,838192,330308,13844,622604,764600,95528,125168,527076,639432,0,0,1048576,812544,64,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536688,1221,aceffaeea368,1,0,0,2018296,,80216,1291220,838204,330312,13844,622660,764608,95528,125168,527132,639440,0,0,1048576,812544,100,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536690,1453,aceffaeea368,1,0,0,2018296,,78100,1289284,838212,330312,13844,622884,764580,95528,125184,527356,639396,0,0,1048576,812544,100,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536691,1597,aceffaeea368,1,0,0,2018296,,78100,1289284,838224,330316,13844,622884,764580,95528,125184,527356,639396,0,0,1048576,812544,104,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536692,1718,aceffaeea368,1,0,0,2018296,,78100,1289288,838236,330320,13844,622884,764584,95528,125184,527356,639400,0,0,1048576,812544,108,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536693,1876,aceffaeea368,1,0,0,2018296,,78100,1289292,838260,330324,13844,622884,764588,95528,125184,527356,639404,0,0,1048576,812544,108,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536694,2019,aceffaeea368,1,0,0,2018296,,78100,1289292,838264,330324,13844,622884,764588,95528,125184,527356,639404,0,0,1048576,812544,108,0,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536695,1153,aceffaeea368,1,0,0,2018296,,78100,1289364,838288,330336,13844,622940,764604,95528,125184,527412,639420,0,0,1048576,812544,132,16,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536696,1232,aceffaeea368,1,0,0,2018296,,78100,1289364,838292,330336,13844,622940,764604,95528,125184,527412,639420,0,0,1048576,812544,132,28,210448,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536697,1388,aceffaeea368,1,0,0,2018296,,78100,1289388,838296,330340,13844,622996,764540,95528,125152,527468,639388,0,0,1048576,812544,136,44,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536698,1495,aceffaeea368,1,0,0,2018296,,78100,1289388,838312,330340,13844,622996,764540,95528,125152,527468,639388,0,0,1048576,812544,136,60,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536699,1633,aceffaeea368,1,0,0,2018296,,78100,1289392,838324,330344,13844,623000,764540,95528,125152,527472,639388,0,0,1048576,812544,140,80,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536700,1723,aceffaeea368,1,0,0,2018296,,78100,1289392,838332,330344,13844,623000,764540,95528,125152,527472,639388,0,0,1048576,812544,140,0,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536701,1888,aceffaeea368,1,0,0,2018296,,78100,1289440,838340,330348,13844,623064,764524,95528,125152,527536,639372,0,0,1048576,812544,140,0,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536702,2023,aceffaeea368,1,0,0,2018296,,78100,1289440,838348,330348,13844,623064,764524,95528,125152,527536,639372,0,0,1048576,812544,140,0,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536703,1184,aceffaeea368,1,0,0,2018296,,78100,1289444,838352,330352,13844,623064,764528,95528,125152,527536,639376,0,0,1048576,812544,0,148,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536704,1296,aceffaeea368,1,0,0,2018296,,78100,1289444,838352,330352,13844,623064,764528,95528,125152,527536,639376,0,0,1048576,812544,0,164,210416,62492,1688,232428,306792,232428,74364,7904,6084,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536705,1443,aceffaeea368,1,0,0,2018296,,78100,1289640,838356,330464,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,48,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536706,1554,aceffaeea368,1,0,0,2018296,,78100,1289640,838364,330456,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,48,8,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536707,1717,aceffaeea368,1,0,0,2018296,,78100,1289640,838372,330448,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,48,4,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536708,1838,aceffaeea368,1,0,0,2018296,,78100,1289640,838384,330440,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,52,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536709,1989,aceffaeea368,1,0,0,2018296,,78100,1289640,838384,330444,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,56,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536710,2096,aceffaeea368,1,0,0,2018296,,78100,1289640,838388,330440,13844,623088,764612,95532,125060,527556,639552,0,0,1048576,812544,56,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536711,1290,aceffaeea368,1,0,0,2018296,,77764,1289476,838396,330432,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,56,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536712,1382,aceffaeea368,1,0,0,2018296,,77764,1289476,838416,330412,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,56,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536713,1509,aceffaeea368,1,0,0,2018296,,77764,1289476,838424,330408,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,60,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536714,1610,aceffaeea368,1,0,0,2018296,,77764,1289476,838440,330396,13844,623252,764620,95532,125060,527720,639560,0,0,1048576,812544,64,0,210316,62708,1688,232428,306792,232428,74364,7904,6168,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
