#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727405141.002749,2749,19327beb84fd,1,0,0,115386068,97885772,110485920,2079352,7596280,0,7577024,3976336,1883164,36056,5693860,3940280,256,256,2097148,2097148,124,0,1878284,631592,41512,4811184,3931296,879888,45552,60240,0,0,0,59790180,16973924,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405142.001890,1890,19327beb84fd,1,0,0,115386068,97885292,110485468,2079356,7596308,0,7576996,3976364,1883136,36056,5693860,3940308,256,256,2097148,2097148,128,0,1878212,631508,41512,4811184,3931296,879888,45552,60216,0,0,0,59790180,16973924,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405143.002383,2383,19327beb84fd,1,0,0,115386068,97885080,110485260,2079360,7596316,0,7576760,3976368,1882900,36056,5693860,3940312,256,256,2097148,2097148,128,0,1877996,631588,41512,4811184,3931296,879888,45520,60176,0,0,0,59790180,16973140,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405144.001592,1592,19327beb84fd,1,0,0,115386068,97883564,110483748,2079364,7596316,0,7577428,3976372,1883568,36056,5693860,3940316,256,256,2097148,2097148,128,0,1878736,631556,41512,4811104,3931296,879808,45520,60448,0,0,0,59790180,16972964,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405145.002142,2142,19327beb84fd,1,0,0,115386068,97884832,110485028,2079368,7596324,0,7577780,3976376,1883912,36056,5693868,3940320,256,256,2097148,2097148,128,0,1878944,631576,41512,4811032,3931296,879736,45520,60212,0,0,0,59790180,16976332,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405146.001320,1320,19327beb84fd,1,0,0,115386068,97884716,110484912,2079376,7596324,0,7577792,3976376,1883924,36056,5693868,3940320,256,256,2097148,2097148,128,0,1879024,631624,41512,4811032,3931296,879736,45520,60236,0,0,0,59790180,16976332,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405147.002815,2815,19327beb84fd,1,0,0,115386068,97886732,110486928,2079384,7596324,0,7576208,3976376,1882340,36056,5693868,3940320,256,256,2097148,2097148,128,0,1877396,631564,41512,4811032,3931296,879736,45472,60080,0,0,0,59790180,16977492,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405148.002011,2011,19327beb84fd,1,0,0,115386068,97900420,110500656,2079388,7596336,0,7569608,3976388,1875712,36056,5693896,3940332,256,256,2097148,2097148,132,0,1870024,631516,41512,4810592,3931296,879296,45392,60152,0,0,0,59790180,16821192,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405149.002591,2591,19327beb84fd,1,0,0,115386068,97916540,110516780,2079388,7596312,0,7548584,3976392,1854688,36056,5693896,3940336,256,256,2097148,2097148,936,0,1849852,632032,41484,4810288,3931296,878992,45104,58696,0,0,0,59790180,16554512,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405150.001772,1772,19327beb84fd,1,0,0,115386068,97894484,110494748,2079392,7596344,0,7567384,3976416,1873484,36072,5693900,3940344,256,256,2097148,2097148,1280,0,1868380,631552,41512,4810292,3931308,878984,45376,59720,0,0,0,59790180,16834948,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
