#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727405022.002060,2060,19327beb84fd,1,0,0,115386068,97893516,110490928,2078532,7595728,0,7570784,3975824,1877780,36064,5693004,3939760,256,256,2097148,2097148,208,0,1872888,631632,41512,4807488,3929936,877552,45296,59564,0,0,0,59790180,16891596,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405023.002419,2419,19327beb84fd,1,0,0,115386068,97891472,110489352,2078540,7595772,0,7571424,3975860,1878404,36064,5693020,3939796,256,256,2097148,2097148,228,0,1873480,631760,41512,4808564,3930352,878212,45440,60156,0,0,0,59790180,16892088,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405024.001606,1606,19327beb84fd,1,0,0,115386068,97909780,110507736,2078556,7595776,0,7553836,3975856,1860816,36048,5693020,3939808,256,256,2097148,2097148,784,0,1856144,631688,41508,4808564,3930416,878148,45104,58948,0,0,0,59790180,16623480,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405025.002037,2037,19327beb84fd,1,0,0,115386068,97904332,110502320,2078564,7595772,0,7558416,3975872,1865372,36056,5693044,3939816,256,256,2097148,2097148,1072,0,1860796,630572,41496,4808488,3930416,878072,45072,59384,0,0,0,59790180,16769828,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405026.001216,1216,19327beb84fd,1,0,0,115386068,97890840,110488848,2078576,7595792,0,7571380,3975900,1878336,36080,5693044,3939820,256,256,2097148,2097148,1216,0,1873600,631496,41512,4808896,3930432,878464,45424,60012,0,0,0,59790180,16925568,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405027.002804,2804,19327beb84fd,1,0,0,115386068,97894596,110492604,2078576,7595212,0,7569888,3975344,1876844,35524,5693044,3939820,256,256,2097148,2097148,1216,0,1871792,630976,40932,4808840,3930432,878408,46032,60008,0,0,0,59790180,16906280,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405028.001964,1964,19327beb84fd,1,0,0,115386068,97892848,110490860,2078580,7595212,0,7570848,3975348,1877804,35524,5693044,3939824,256,256,2097148,2097148,1216,0,1872872,630908,40932,4808840,3930432,878408,46032,59988,0,0,0,59790180,16903336,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405029.002453,2453,19327beb84fd,1,0,0,115386068,97892632,110490648,2078588,7595208,0,7570780,3975352,1877736,35524,5693044,3939828,256,256,2097148,2097148,1216,0,1872820,630956,40932,4808840,3930432,878408,46032,59996,0,0,0,59790180,16903336,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405030.001634,1634,19327beb84fd,1,0,0,115386068,97891920,110489940,2078588,7595212,0,7570784,3975356,1877740,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1872616,631240,40932,4808840,3930432,878408,46000,59948,0,0,0,59790180,16903428,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405031.002167,2167,19327beb84fd,1,0,0,115386068,97891656,110489676,2078600,7595200,0,7571824,3975356,1878780,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1873700,631136,40932,4808840,3930432,878408,46000,59948,0,0,0,59790180,16903428,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405032.001373,1373,19327beb84fd,1,0,0,115386068,97891192,110489212,2078600,7595200,0,7572428,3975356,1879384,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1874132,630840,40932,4808840,3930432,878408,46016,59928,0,0,0,59790180,16902200,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405033.001926,1926,19327beb84fd,1,0,0,115386068,97891596,110489616,2078604,7595196,0,7572620,3975356,1879576,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1874368,630880,40932,4808840,3930432,878408,46048,60020,0,0,0,59790180,16902200,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405034.002089,2089,19327beb84fd,1,0,0,115386068,97890804,110488824,2078608,7595192,0,7573008,3975356,1879964,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1874472,630896,40932,4808840,3930432,878408,46000,59956,0,0,0,59790180,16899008,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405035.002625,2625,19327beb84fd,1,0,0,115386068,97890572,110488592,2078612,7595188,0,7573488,3975356,1880444,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1874952,630952,40932,4808840,3930432,878408,46000,59960,0,0,0,59790180,16899008,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405036.001802,1802,19327beb84fd,1,0,0,115386068,97889896,110487916,2078624,7595176,0,7573296,3975356,1880252,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1874736,630636,40932,4808856,3930432,878424,45952,59808,0,0,0,59790180,16901120,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405037.002306,2306,19327beb84fd,1,0,0,115386068,97888632,110486652,2078624,7595176,0,7573856,3975356,1880812,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875332,630636,40932,4808856,3930432,878424,45952,59808,0,0,0,59790180,16901120,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405038.001466,1466,19327beb84fd,1,0,0,115386068,97888684,110486704,2078636,7595164,0,7573896,3975356,1880852,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875364,630860,40932,4808856,3930432,878424,45968,60612,0,0,0,59790180,16899524,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405039.002007,2007,19327beb84fd,1,0,0,115386068,97887900,110485920,2078640,7595160,0,7573956,3975356,1880912,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875164,630860,40932,4808856,3930432,878424,45968,60616,0,0,0,59790180,16899524,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405040.001158,1158,19327beb84fd,1,0,0,115386068,97887264,110485284,2078644,7595156,0,7574532,3975356,1881488,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875236,630760,40932,4808856,3930432,878424,45968,60640,0,0,0,59790180,16899368,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405041.002279,2279,19327beb84fd,1,0,0,115386068,97887032,110485052,2078648,7595152,0,7574488,3975356,1881444,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875456,630728,40932,4808856,3930432,878424,45984,60664,0,0,0,59790180,16899368,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405042.001408,1408,19327beb84fd,1,0,0,115386068,97885032,110483052,2078656,7595144,0,7574748,3975356,1881704,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1875440,630920,40932,4808856,3930432,878424,45920,60520,0,0,0,59790180,16901600,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405043.001919,1919,19327beb84fd,1,0,0,115386068,97884644,110482664,2078664,7595136,0,7574832,3975356,1881788,35524,5693044,3939832,256,256,2097148,2097148,1216,0,1876088,630920,40932,4808856,3930432,878424,45968,60608,0,0,0,59790180,16901600,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
1727405044.002069,2069,19327beb84fd,1,0,0,115386068,97888956,110487128,2078672,7595860,0,7572656,3975944,1879512,36060,5693144,3939884,256,256,2097148,2097148,1236,0,1874616,631664,41512,4808628,3930432,878196,45456,60232,0,0,0,59790180,16902384,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1580600,30822400,102760448
