#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727453110.010906,10906,80f71a4ebbfa,1,0,0,115386068,97736360,110492240,2142224,7661788,0,7659136,3982644,1843156,36036,5815980,3946608,256,256,2097148,2097148,1188,0,1838444,585896,41516,4870096,3958316,911780,43664,54552,0,0,0,59790180,15563972,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453120.011126,11126,80f71a4ebbfa,1,0,0,115386068,97735584,110491516,2142252,7661816,0,7658952,3982672,1842948,36036,5816004,3946636,256,256,2097148,2097148,136,0,1837624,585892,41516,4870008,3958316,911692,43552,54092,0,0,0,59790180,15564276,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453130.011673,11673,80f71a4ebbfa,1,0,0,115386068,97765124,110521144,2142268,7661824,0,7627452,3982680,1811432,36036,5816020,3946644,256,256,2097148,2097148,124,0,1806592,586004,41516,4870216,3958380,911836,43696,54428,0,0,0,59790180,15555708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453140.010868,10868,80f71a4ebbfa,1,0,0,115386068,97765456,110521488,2142276,7661824,0,7629028,3982684,1813000,36036,5816028,3946648,256,256,2097148,2097148,8,0,1807712,585728,41516,4870076,3958380,911696,43680,54440,0,0,0,59790180,15576748,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453150.011403,11403,80f71a4ebbfa,1,0,0,115386068,97752468,110509424,2142296,7661860,0,7638112,3982696,1822044,36036,5816068,3946660,256,256,2097148,2097148,1128,0,1817172,592720,41516,4872544,3959252,913292,43872,54772,0,0,0,59790180,15773832,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453160.010591,10591,80f71a4ebbfa,1,0,0,115386068,97764196,110521268,2142308,7661856,0,7626140,3982692,1810056,36036,5816084,3946656,256,256,2097148,2097148,1124,0,1805024,585952,41516,4873116,3959356,913760,43552,54316,0,0,0,59790180,15545248,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453170.011110,11110,80f71a4ebbfa,1,0,0,115386068,97767232,110524316,2142316,7661860,0,7625904,3982696,1809812,36036,5816092,3946660,256,256,2097148,2097148,1116,0,1804900,585892,41516,4873236,3959356,913880,43600,54432,0,0,0,59790180,15542872,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
1727453180.010270,10270,80f71a4ebbfa,1,0,0,115386068,97766196,110523292,2142328,7661860,0,7625340,3982700,1809240,36036,5816100,3946664,256,256,2097148,2097148,476,0,1803480,586012,41516,4873260,3959356,913904,43632,54160,0,0,0,59790180,15543168,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1588792,30814208,102760448
