#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727449870.011139,11139,621ce15dc584,1,0,0,115386068,97783508,110530180,2136240,7659508,0,7617852,3980520,1808008,36036,5809844,3944484,256,256,2097148,2097148,1120,0,1803224,584124,41516,4870512,3957384,913128,43440,53856,0,0,0,59790180,15472004,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449880.011765,11765,621ce15dc584,1,0,0,115386068,97780512,110527376,2136268,7659540,0,7627060,3980548,1817192,36036,5809868,3944512,256,256,2097148,2097148,1128,0,1811864,591148,41516,4870896,3957520,913376,43552,53564,0,0,0,59790180,15777756,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449890.010940,10940,621ce15dc584,1,0,0,115386068,97789232,110536560,2136288,7659544,0,7614112,3980552,1804216,36036,5809896,3944516,256,256,2097148,2097148,4,0,1799380,584044,41516,4872216,3957952,914264,43440,53868,0,0,0,59790180,15402772,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449900.011520,11520,621ce15dc584,1,0,0,115386068,97787828,110535184,2136312,7659548,0,7614732,3980556,1804812,36036,5809920,3944520,256,256,2097148,2097148,32,0,1799880,584120,41516,4872364,3957952,914412,43408,53804,0,0,0,59790180,15417636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449910.010719,10719,621ce15dc584,1,0,0,115386068,97782636,110530464,2136336,7659552,0,7614948,3980560,1805008,36036,5809940,3944524,256,256,2097148,2097148,64,0,1800092,584032,41516,4873956,3958400,915556,43472,53836,0,0,0,59790180,15439124,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449920.011283,11283,621ce15dc584,1,0,0,115386068,97782232,110530228,2136376,7659684,0,7615076,3980688,1805096,36036,5809980,3944652,256,256,2097148,2097148,1060,0,1800332,584180,41516,4873628,3958400,915228,43392,53828,0,0,0,59790180,15424528,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449930.010451,10451,621ce15dc584,1,0,0,115386068,97783712,110531780,2136400,7659688,0,7615200,3980692,1805192,36036,5810008,3944656,256,256,2097148,2097148,992,0,1800352,584504,41516,4873648,3958440,915208,43440,53816,0,0,0,59790180,15429344,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449940.011121,11121,621ce15dc584,1,0,0,115386068,97782272,110530436,2136424,7659692,0,7616916,3980696,1806888,36036,5810028,3944660,256,256,2097148,2097148,508,0,1801224,584272,41516,4873616,3958512,915104,43360,53784,0,0,0,59790180,15441872,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449950.010289,10289,621ce15dc584,1,0,0,115386068,97781164,110529772,2136448,7659700,0,7616820,3980704,1806764,36036,5810056,3944668,256,256,2097148,2097148,96,0,1801664,584280,41516,4874628,3958920,915708,43376,53804,0,0,0,59790180,15414460,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727449960.011855,11855,621ce15dc584,1,0,0,115386068,97779996,110528760,2136472,7659700,0,7615244,3980704,1805168,36036,5810076,3944668,256,256,2097148,2097148,96,0,1799584,584816,41516,4875436,3959056,916380,43360,53524,0,0,0,59790180,15425708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
